,v2_impactScore,v2_accessVector,v2_userInteractionRequired,v2_accessComplexity,v2_baseScore,v3_score
0,10.0,0.395,0,0.71,7.2,7.8
1,10.0,1,1,0.61,9.3,8.8
2,6.4,0.395,1,0.35,3.7,6.7
3,2.9,0.395,0,0.71,2.1,5.5
4,10.0,0.395,0,0.71,7.2,6.7
5,2.9,1,1,0.61,4.3,6.5
6,2.9,0.395,0,0.71,2.1,5.5
7,2.9,0.395,0,0.61,1.9,4.7
8,2.9,0.395,0,0.71,2.1,5.5
9,10.0,0.395,0,0.71,7.2,6.7
10,10.0,0.395,0,0.71,7.2,6.7
11,10.0,0.395,0,0.71,7.2,6.7
12,2.9,1,1,0.61,4.3,5.5
13,6.4,0.395,1,0.61,4.4,7.8
14,10.0,0.395,0,0.71,7.2,7.8
15,4.9,0.395,1,0.61,3.3,4.4
16,2.9,0.395,0,0.71,2.1,4.4
17,2.9,0.395,0,0.71,2.1,5.5
18,6.9,0.395,0,0.71,4.9,5.5
19,6.9,1,0,0.71,6.8,6.5
20,10.0,0.646,0,0.71,8.3,8.8
21,6.9,0.395,0,0.61,4.7,5.5
22,6.4,0.395,1,0.61,4.4,7.8
23,10.0,0.395,0,0.71,7.2,7.8
24,10.0,0.395,0,0.71,7.2,7.8
25,6.9,1,1,0.61,7.1,6.5
26,2.9,0.395,0,0.71,2.1,2.3
27,10.0,0.395,0,0.61,6.9,7.0
28,6.9,0.395,1,0.61,4.7,5.0
29,10.0,1,1,0.61,9.3,8.8
30,10.0,0.395,0,0.71,7.2,7.8
31,6.9,1,0,0.71,7.8,7.5
32,6.9,0.395,0,0.71,4.9,5.5
33,10.0,0.395,0,0.71,7.2,7.8
34,6.9,1,0,0.71,7.8,7.5
35,6.9,1,0,0.71,7.8,7.5
36,6.9,1,0,0.71,7.8,7.5
37,10.0,0.395,0,0.71,7.2,7.8
38,2.9,0.395,0,0.71,2.1,4.4
39,2.9,0.395,0,0.71,2.1,4.4
40,2.9,0.395,0,0.71,2.1,4.4
41,10.0,0.395,0,0.61,6.9,6.4
42,6.4,0.395,0,0.71,4.6,7.8
43,2.9,0.395,0,0.71,2.1,3.3
44,2.9,0.395,0,0.71,2.1,5.5
45,2.9,1,1,0.61,4.3,6.5
46,6.4,0.395,0,0.71,4.6,6.7
47,6.4,0.395,1,0.61,4.4,7.8
48,2.9,0.395,1,0.61,1.9,4.3
49,6.4,0.395,0,0.71,4.6,6.7
50,6.4,0.395,0,0.71,4.6,7.8
51,2.9,0.395,0,0.71,2.1,5.5
52,2.9,0.395,0,0.71,2.1,5.5
53,2.9,0.395,0,0.71,2.1,5.5
54,2.9,0.395,0,0.71,2.1,4.4
55,2.9,0.395,0,0.71,2.1,5.5
56,2.9,0.395,0,0.71,2.1,4.4
57,6.9,0.395,0,0.71,4.9,5.5
58,2.9,1,0,0.71,5.0,7.5
59,6.4,0.395,1,0.61,4.4,7.3
60,2.9,0.395,0,0.71,2.1,5.5
61,2.9,0.395,0,0.71,2.1,5.5
62,10.0,0.395,0,0.61,6.9,6.4
63,2.9,0.395,0,0.71,2.1,4.4
64,2.9,0.395,0,0.71,2.1,4.4
65,10.0,0.395,0,0.71,7.2,7.8
66,10.0,1,0,0.71,10.0,9.8
67,10.0,1,0,0.71,10.0,9.8
68,10.0,1,0,0.71,10.0,9.8
69,10.0,1,0,0.71,10.0,9.8
70,10.0,0.395,0,0.71,7.2,7.8
71,2.9,0.395,0,0.71,2.1,4.4
72,6.4,0.395,0,0.71,4.6,6.7
73,2.9,0.395,0,0.71,2.1,4.4
74,6.4,0.395,0,0.71,4.6,7.8
75,6.4,0.395,0,0.71,4.6,7.8
76,10.0,1,1,0.61,9.3,7.8
77,10.0,0.395,0,0.71,7.2,7.8
78,10.0,0.395,0,0.71,7.2,7.8
79,2.9,1,0,0.71,5.0,7.5
80,6.4,0.395,0,0.71,4.6,7.8
81,6.4,0.395,0,0.71,4.6,7.8
82,6.4,1,0,0.61,6.8,9.8
83,2.9,0.395,1,0.61,1.9,5.5
84,2.9,1,1,0.61,4.3,6.5
85,6.4,0.395,0,0.71,4.6,7.8
86,2.9,0.395,0,0.71,2.1,5.5
87,2.9,0.395,0,0.71,2.1,5.5
88,2.9,0.395,1,0.61,1.9,5.0
89,2.9,0.395,1,0.61,1.9,5.0
90,6.4,0.395,0,0.71,4.6,7.8
91,10.0,0.395,0,0.71,7.2,7.8
92,6.4,0.395,0,0.71,4.6,7.8
93,6.4,0.395,0,0.71,4.6,7.8
94,10.0,1,1,0.61,9.3,7.8
95,2.9,0.395,0,0.71,2.1,5.5
96,2.9,0.395,0,0.71,2.1,5.5
97,6.4,0.395,0,0.71,4.6,7.8
98,10.0,1,0,0.71,10.0,9.8
99,2.9,0.395,0,0.71,2.1,5.5
100,6.4,0.395,0,0.71,4.6,7.8
101,2.9,0.395,0,0.71,2.1,5.5
102,2.9,0.395,0,0.71,2.1,5.5
103,10.0,0.395,0,0.71,7.2,7.8
104,6.4,0.395,0,0.71,4.6,7.8
105,6.4,0.395,0,0.71,4.6,7.8
106,6.9,0.395,0,0.71,4.9,5.5
107,10.0,0.395,0,0.71,7.2,7.8
108,10.0,0.395,0,0.71,7.2,7.8
109,6.9,0.395,0,0.71,4.9,5.5
110,10.0,1,0,0.71,10.0,9.8
111,10.0,0.395,1,0.61,6.9,7.8
112,6.9,1,1,0.35,5.4,5.3
113,6.4,0.395,0,0.71,4.6,7.8
114,2.9,0.395,0,0.71,2.1,5.5
115,10.0,0.395,0,0.71,7.2,6.7
116,10.0,1,0,0.71,10.0,9.8
117,6.4,0.395,0,0.71,4.6,6.7
118,2.9,0.395,0,0.71,2.1,5.5
119,10.0,0.395,0,0.61,6.9,6.4
120,2.9,1,1,0.61,4.3,6.5
121,2.9,1,0,0.71,5.0,7.5
122,6.4,0.395,0,0.71,4.6,7.8
123,6.4,0.395,0,0.71,4.6,7.8
124,6.4,1,1,0.61,6.8,8.8
125,2.9,0.395,0,0.71,2.1,5.5
126,6.4,0.395,1,0.61,4.4,7.3
127,2.9,0.395,0,0.71,2.1,5.5
128,2.9,0.395,0,0.71,2.1,4.4
129,6.4,0.395,0,0.71,4.6,7.8
130,6.4,0.395,0,0.71,4.6,7.8
131,6.4,1,0,0.61,6.8,9.8
132,2.9,0.395,0,0.71,2.1,4.4
133,2.9,1,0,0.71,5.0,7.5
134,2.9,1,1,0.35,2.1,4.4
135,2.9,1,0,0.71,5.0,7.5
136,2.9,0.395,0,0.71,2.1,4.4
137,2.9,0.395,0,0.71,2.1,4.4
138,2.9,0.395,0,0.71,2.1,4.4
139,2.9,0.395,0,0.71,2.1,4.4
140,2.9,0.395,0,0.71,2.1,4.4
141,2.9,0.395,0,0.71,2.1,4.4
142,2.9,0.395,0,0.71,2.1,4.4
143,6.4,0.395,0,0.71,4.6,7.8
144,2.9,0.395,0,0.71,2.1,4.4
145,2.9,0.395,0,0.71,2.1,4.4
146,6.4,0.395,0,0.71,4.6,6.7
147,2.9,0.395,0,0.71,2.1,4.4
148,6.4,0.395,0,0.71,4.6,7.8
149,2.9,0.395,0,0.71,2.1,5.5
150,2.9,1,0,0.71,4.0,4.9
151,2.9,0.395,0,0.71,2.1,4.4
152,2.9,1,1,0.61,3.5,5.5
153,6.4,1,1,0.61,6.8,8.8
154,2.9,1,1,0.61,4.3,6.5
155,2.9,1,1,0.61,4.3,6.5
156,2.9,1,1,0.61,4.3,6.5
157,2.9,0.395,0,0.71,2.1,4.4
158,10.0,0.395,0,0.71,7.2,6.7
159,6.4,0.395,0,0.71,4.6,7.8
160,2.9,1,1,0.61,4.3,5.5
161,6.4,1,1,0.61,6.8,8.8
162,2.9,1,1,0.61,4.3,6.5
163,2.9,1,1,0.61,4.3,6.5
164,2.9,1,1,0.61,4.3,6.5
165,2.9,1,1,0.61,4.3,6.5
166,2.9,1,1,0.61,4.3,6.5
167,2.9,1,1,0.61,4.3,6.5
168,2.9,1,1,0.61,4.3,6.5
169,2.9,1,0,0.71,5.0,7.5
170,2.9,0.395,0,0.71,2.1,5.5
171,2.9,0.395,0,0.71,2.1,5.5
172,6.4,1,1,0.61,6.8,7.8
173,2.9,1,1,0.61,4.3,6.5
174,2.9,1,0,0.71,5.0,7.5
175,4.9,1,0,0.71,6.4,6.5
176,6.4,0.395,1,0.61,4.4,7.8
177,2.9,1,1,0.61,4.3,6.5
178,2.9,0.395,0,0.71,2.1,5.5
179,6.4,0.395,0,0.71,4.6,6.7
180,2.9,0.395,0,0.71,2.1,5.5
181,6.4,0.395,0,0.71,4.6,7.8
182,2.9,1,1,0.61,4.3,6.5
183,6.4,1,1,0.61,6.8,8.8
184,2.9,1,1,0.61,4.3,6.5
185,2.9,1,1,0.61,4.3,6.5
186,2.9,1,1,0.61,4.3,6.5
187,6.4,1,1,0.61,6.8,8.8
188,2.9,1,1,0.61,4.3,6.5
189,2.9,0.646,0,0.71,3.3,6.5
190,2.9,0.395,0,0.71,2.1,5.5
191,2.9,1,0,0.71,5.0,7.5
192,2.9,0.395,0,0.61,1.9,4.1
193,2.9,1,1,0.61,4.3,6.5
194,6.4,1,0,0.71,7.5,9.8
195,6.4,1,1,0.61,6.8,7.8
196,6.4,0.395,0,0.71,4.6,7.8
197,6.4,1,1,0.35,5.1,7.0
198,2.9,1,1,0.61,4.3,6.5
199,2.9,0.395,0,0.71,2.1,5.5
200,2.9,1,1,0.61,4.3,6.5
201,6.4,0.395,0,0.71,4.6,7.8
202,6.4,0.395,0,0.71,4.6,7.8
203,6.4,0.395,0,0.71,4.6,7.8
204,2.9,1,1,0.61,4.3,6.5
205,2.9,1,1,0.61,4.3,6.5
206,6.4,1,1,0.61,6.8,8.8
207,2.9,1,0,0.71,5.0,7.5
208,6.4,0.395,1,0.61,4.4,7.8
209,6.4,0.395,1,0.61,4.4,7.8
210,6.4,1,0,0.71,7.5,9.8
211,6.4,0.395,0,0.61,4.4,7.0
212,6.4,0.395,0,0.71,4.6,7.8
213,6.4,0.395,0,0.71,4.6,6.7
214,6.4,1,0,0.71,7.5,9.8
215,6.4,1,0,0.71,7.5,9.8
216,10.0,1,0,0.71,10.0,9.8
217,10.0,1,0,0.71,10.0,9.8
218,10.0,0.395,0,0.71,7.2,7.8
219,10.0,0.395,0,0.71,7.2,7.8
220,2.9,1,0,0.71,5.0,7.5
221,10.0,1,0,0.71,10.0,9.8
222,6.4,1,0,0.71,7.5,9.8
223,6.4,1,0,0.71,7.5,9.8
224,6.4,1,0,0.71,7.5,9.8
225,10.0,0.395,0,0.71,7.2,7.8
226,6.4,0.395,0,0.71,4.6,7.8
227,6.4,1,0,0.71,7.5,9.8
228,2.9,1,0,0.71,5.0,7.5
229,10.0,0.395,0,0.61,6.9,7.0
230,6.9,0.395,0,0.71,4.9,5.5
231,10.0,1,1,0.61,9.3,8.8
232,10.0,0.395,0,0.71,7.2,7.8
233,10.0,0.395,0,0.71,7.2,7.8
234,10.0,0.395,0,0.71,7.2,7.8
